address,area,Sum of avg_order_value,Sum of customer_id,customer_name,customer_segment,email,Sum of phone,Sum of pincode,Year,Quarter,Month,Day,Sum of total_orders
"352, Chahal Ganj, Aurangabad-005102",Ballia,763.15,75752515,Gagan Chakraborty,Premium,tbadal@example.com,914693290990,636676,2024,Qtr 2,April,17,14
"353, Sahota Zila
Katni 822108",Bhagalpur,527.03,16640907,Anjali Choudhary,Regular,indira18@example.com,910384127497,632688,2024,Qtr 4,October,5,16
"354
Raval Circle
Purnia 372237",Coimbatore,1605.95,9335625,Falguni Sangha,Premium,sudiksha34@example.org,912514405805,194689,2024,Qtr 3,July,27,14
"354, Bali Street
Pondicherry-996500",Hospet,442.16,29858395,Patrick Rout,Inactive,aayushpal@example.net,915523705895,511481,2024,Qtr 3,September,3,16
"354, Chaudhry, Guna-116016",Mirzapur,1352.41,69126963,Chatura Lad,Premium,gagankaran@example.com,916785944688,838057,2024,Qtr 1,February,21,19
"356
Mohan Nagar
Cuttack-228642",Berhampore,215.72,3730316,Ishanvi Shankar,Regular,daksha35@example.org,912906397510,968515,2023,Qtr 1,March,20,10
"357, Chaudhry Chowk
Danapur-617891",Berhampur,475.19,96253172,Zarna Mammen,Inactive,patilnachiket@example.com,919987789256,238657,2023,Qtr 3,August,8,1
"358
Bhakta
Sangli-Miraj & Kupwad 296144",Panchkula,739.04,54619715,David Cherian,Inactive,imaran51@example.com,916825053964,660842,2024,Qtr 4,October,27,4
"36, Bose Street, Pali 357092",Chittoor,805.43,47387512,Shivansh Gaba,Regular,harshilsawhney@example.net,912253875315,858549,2023,Qtr 3,July,8,18
"36, Rau Circle
Meerut-833400",Junagadh,1620.01,69863493,Yashica Madan,Regular,jsehgal@example.com,914102629181,342288,2023,Qtr 2,June,9,6
"36, Subramanian Circle, Hyderabad 897585",Bareilly,1186.59,18394558,Dipta Sarraf,Regular,yashodalata@example.org,915052350631,155249,2023,Qtr 4,December,30,2
"36/02
Padmanabhan Ganj, Saharsa 133874",Gorakhpur,1013.57,66943324,Gavin Karnik,Premium,rudrakrishna@example.com,915045422274,851838,2023,Qtr 3,August,13,19
"36/52
Mane Street
Rohtak 670007",Howrah,1378.77,32585389,Abhimanyu Sachdeva,Premium,daksheshdave@example.net,917845894228,717606,2023,Qtr 4,November,13,3
"36/809
Sastry Circle
Kumbakonam-107839",Baranagar,1984.5,43256928,Gaurav Bhardwaj,Inactive,okamdar@example.com,913712708951,131278,2023,Qtr 3,August,14,19
"36/815, Khosla Chowk, Karaikudi-978674",Anantapuram,1765.01,38565569,Udarsh Nayar,Premium,garimabala@example.com,917985567266,200521,2024,Qtr 1,March,1,5
"36/962
Nazareth Circle, Tirupati-434921",Kadapa,404.02,55042740,Samuel Lanka,Regular,bhanumati39@example.net,910376361501,97917,2024,Qtr 1,March,12,7
"36/97, Dutta Chowk
Bharatpur-153378",Srinagar,1574.94,11636968,Frado Ravel,Inactive,rachitaaurora@example.org,918546705384,213214,2024,Qtr 3,September,21,1
"361, Mittal
Gandhinagar-958628",Proddatur,1283.05,44859592,Dhriti Koshy,New,urmi61@example.net,914815004833,826520,2023,Qtr 4,October,5,19
"362, Mitter Path
Arrah-104021",Baranagar,334.16,82900175,Avni Som,New,hiralmunshi@example.net,919372846272,248293,2023,Qtr 2,June,1,17
"366, Lall Path
Ambarnath-422467",Dhule,492,72797139,Ucchal Kapoor,Regular,kantcaleb@example.net,913880060422,722930,2023,Qtr 3,July,17,5
"37
Bajaj Circle, Siwan 761617",Nadiad,1975.13,79298972,Zaid Kari,Regular,solankiabeer@example.net,915590631276,685405,2023,Qtr 2,June,25,5
"37
Ganesan Marg
Nangloi Jat-417273",Dehri,1739.54,28289030,Sarthak Parmar,Regular,cgulati@example.net,914141149452,383972,2024,Qtr 4,October,11,11
"37
Kade Marg
Raichur 315310",Gaya,1278.88,97928781,Dhriti Om,Inactive,ychander@example.org,919169001005,464706,2024,Qtr 2,May,24,2
"37
Kaul
Thanjavur-688358",Imphal,546.58,59436131,Vritti Kota,New,anya33@example.com,911548648747,400123,2024,Qtr 3,September,2,18
"37
Mody Circle
Jorhat 391653",Singrauli,502.9,66768157,Om Khosla,Inactive,obahri@example.org,910828966079,131116,2023,Qtr 3,September,4,3
"37, Sant Circle
Bhiwandi-247759",Ghaziabad,1951.59,67277562,Arunima Borde,Inactive,nkurian@example.org,910289553046,721656,2023,Qtr 4,November,20,10
"37/02
Ganguly Circle
Barasat-737778",Hapur,231.43,34237583,Ishwar Chand,New,mitalwidisha@example.net,914460661311,769474,2024,Qtr 3,September,8,1
"37/115
Kade Nagar
Baranagar 427420",Muzaffarnagar,1535.03,99347871,Robert Kashyap,Regular,gnadkarni@example.net,915345369198,535677,2023,Qtr 4,December,1,3
"37/337, Tank Road
Mau-206951",Bhubaneswar,618.64,17843667,Yauvani Purohit,New,noahdevi@example.org,918945163241,599055,2024,Qtr 1,March,20,4
"37/62, Basu Chowk
Sikar 515907",Orai,1370.56,16379942,Harshil Kuruvilla,Inactive,pathakanirudh@example.org,913807361990,332997,2024,Qtr 2,April,10,15
"37/659
Brahmbhatt, Darbhanga-901609",Ramagundam,1906.46,18896771,Tejas Wable,Inactive,edhitha15@example.org,910297241448,350815,2023,Qtr 2,May,17,12
"37/67, Tak Zila
Nadiad 662567",Nandyal,1536.88,20254516,Tanveer Samra,Inactive,triptisama@example.com,912262540783,696091,2024,Qtr 3,July,23,18
"37/812, Pal Zila
Bidar-969809",Purnia,696.12,41512861,Veer Kant,Regular,qarinsundaram@example.org,910705645725,831675,2024,Qtr 2,April,24,11
"372
Date, Pali 101228",Surat,711.72,88684966,Jalsa Khanna,New,warhi99@example.com,915005533370,612723,2024,Qtr 3,July,8,10
"372, Mitter Zila
Ranchi-735929",Faridabad,909,92604392,Kevin Palan,Premium,ati37@example.com,913580662726,853795,2023,Qtr 4,November,16,10
"372, Sagar Marg
Tiruchirappalli-790434",Raebareli,257.78,62243869,Vrishti Thakkar,Premium,gaurangiparmer@example.org,916498170665,430535,2024,Qtr 3,September,24,7
"374, Sehgal Zila
Mysore 291634",Davanagere,376.48,67092149,Daksh Atwal,Premium,indiratrivedi@example.com,919692423734,619381,2023,Qtr 4,December,16,1
"377, Wason Street
Chittoor 121927",Rewa,1810.28,68196920,Vasana Tripathi,Regular,faras32@example.com,912274327318,437649,2023,Qtr 4,October,29,15
"379, Cherian Zila, Panihati 138451",Thanjavur,389.39,30447453,Jagrati Lad,Premium,bjain@example.com,914094100272,425881,2023,Qtr 2,June,1,14
"38
Bassi Ganj, Navi Mumbai-379945",Muzaffarnagar,814.5,24032469,Liam Khatri,New,chaayabalay@example.net,918692887618,722292,2023,Qtr 4,November,7,14
"38
Nazareth, Vadodara-354901",Visakhapatnam,1747.91,94033330,Prisha Tella,Regular,joshibalveer@example.org,916400082007,609564,2024,Qtr 3,September,25,10
"38, Chandran Chowk
Phusro 940532",Udupi,518.17,6319646,Rehaan Suresh,Regular,ryan15@example.com,915773547026,413954,2024,Qtr 1,February,20,9
"38, Goyal Road
Ballia 891603",Bhopal,1906.92,13189939,Ishanvi Raman,Inactive,kalaoviya@example.net,916171620979,626288,2024,Qtr 2,May,4,17
"38, Memon
Allahabad-545707",Durg,607.46,12967305,Bhavani Sood,New,sanayareddy@example.net,913820343447,963984,2023,Qtr 4,December,24,16
"38, Sood Marg
Panchkula-584011",Proddatur,402.74,9981089,Ikbal Hari,Premium,madhav05@example.net,918035687261,188765,2023,Qtr 4,October,5,1
"38/07
Chawla Marg, Farrukhabad 603507",Surendranagar Dudhrej,1466.9,8734819,Balveer Verma,New,henry39@example.org,912461408251,150558,2023,Qtr 4,November,11,13
"38/33, Wadhwa Marg, Sambhal-817010",Danapur,1565.31,9796585,Damini Jha,Inactive,bhaktaekanta@example.org,919205507273,253065,2023,Qtr 4,November,30,20
"38/411
Deshmukh Marg
Gangtok 554649",Jamalpur,1869.02,71229024,Manbir Ramesh,New,ekbaldeshmukh@example.net,919167807700,761366,2024,Qtr 1,February,10,4
"38/453
Dasgupta Chowk, Tirunelveli-600855",Erode,1449.84,44223796,Bakhshi Lad,Regular,indira89@example.com,910380300612,41954,2023,Qtr 2,June,16,16
"38/514, Deo Zila, Morbi 793612",Warangal,1142.06,3638834,Falan Nayak,Premium,garaveer@example.com,915780823790,563073,2023,Qtr 3,July,8,16
"38/541
Hari Street, Faridabad 486542",Vijayawada,1659.56,87107263,Lakshmi Arora,Inactive,parmarvansha@example.org,918888108591,784029,2024,Qtr 4,October,2,9
"38/80
Parikh
Jamshedpur 875730",Amritsar,1967.78,61486140,Jeremiah Chand,Inactive,zdeep@example.com,914772271075,569153,2023,Qtr 4,December,15,15
"38/907, Maharaj Ganj
Panihati 378139",Gandhidham,1490.73,69242672,Ranveer Sheth,Regular,sidhuparth@example.com,914909996949,791492,2023,Qtr 2,April,19,3
"381, Balan Circle, Anand 910232",Gudivada,1815.35,30891209,Azaan Bora,New,manan23@example.org,913519053638,347450,2024,Qtr 3,July,22,1
"383, Parikh Road
Belgaum-311274",Panipat,894.79,54850870,Jatin Magar,New,ganesanshaurya@example.com,918870417670,645655,2024,Qtr 2,April,14,6
"385, Varghese Street, Moradabad 456513",Hindupur,577.75,46989310,Atharv Sharaf,Regular,lallwarinder@example.net,915477306937,8262,2024,Qtr 4,October,3,17
"387
Narula Zila
Korba 967819",Farrukhabad,1512.98,84862161,Advaith Baria,New,ayushnatarajan@example.org,918117857683,770374,2024,Qtr 1,February,14,12
"39
Dalal Circle
Karawal Nagar-027066",Asansol,1082.3,62868582,Chaitaly Anand,New,rishi88@example.net,912009385743,253211,2024,Qtr 2,April,4,11
"39
Lata Chowk
Nellore 099220",Rajahmundry,1447.55,10855630,Anya Rajagopal,Premium,sbajwa@example.org,916836842543,39724,2024,Qtr 2,June,3,15
"39/439, Natt
Lucknow 617952",Unnao,608.27,3282647,Warda Pal,Premium,csinha@example.net,911556032698,736234,2024,Qtr 1,January,15,18
"39/475
Sathe Road
Bhopal-622648",Rajahmundry,1830.92,10524732,Bhavna Ramesh,Regular,esingh@example.org,915866776432,134704,2023,Qtr 4,November,16,18
"39/48
Bhatt Marg
Maheshtala-742358",Raiganj,1339.52,73933840,Amara Gill,Regular,radhachand@example.net,919395213755,664697,2024,Qtr 1,March,12,10
"39/64
Vig Zila
Jaipur-137064",Saharanpur,1896.27,42366724,Quincy Kari,Inactive,gopaldugar@example.org,910861921705,260071,2023,Qtr 3,July,27,20
"39/71, Talwar Nagar
Sonipat 594726",Coimbatore,1896.89,12469338,Lavanya Dani,Inactive,fsathe@example.org,915012759595,728275,2024,Qtr 1,January,30,2
"39/739
Nanda Zila
Secunderabad-753649",Bijapur,1681.39,24043135,Edhitha Bassi,Inactive,chavvijohal@example.com,919376472347,339705,2024,Qtr 4,October,1,15
"39/76, Yogi Chowk, Jalna-806277",Tadepalligudem,1905.19,99772709,Xiti Jaggi,Regular,girishgour@example.net,915944903403,798755,2023,Qtr 3,September,3,11
"39/93
Khare, Kolkata 775692",Nizamabad,492.04,9347990,Aarush Pingle,Premium,natarajantanay@example.com,912353233822,16949,2024,Qtr 2,April,1,6
"391, Edwin Path, Korba 202726",Udupi,1540.81,57392064,Lavanya Jain,Regular,deshpandeom@example.com,916137420258,688100,2024,Qtr 2,June,23,4
"391, Kunda Chowk, Pune 550785",Bellary,1231.67,64197854,Krishna Ramanathan,Regular,bina08@example.com,910150876296,265134,2023,Qtr 4,October,28,17
"393
Narasimhan Chowk
Satara 333915",Amritsar,852.27,12574626,Nitesh Joshi,Inactive,cborra@example.net,918382547134,409487,2024,Qtr 2,May,2,18
"397
Ramaswamy Nagar, Motihari-389474",Hyderabad,1125.33,85218071,Panini Mani,New,bhavanighosh@example.org,912901349860,908140,2023,Qtr 2,April,28,20
"399, Agate
Eluru-619957",Karnal,1565.67,76864442,Yashasvi Srinivas,Regular,omya58@example.com,911342482017,395170,2023,Qtr 3,July,31,13
"399, Anne Ganj
Bidar-098867",Tenali,389.36,98444183,Radha D’Alia,Regular,gbansal@example.net,911471413895,503518,2024,Qtr 1,February,4,11
"399, Chahal Path, Bettiah-108157",Mathura,1315.38,74230420,Ati Choudhry,Regular,ronith00@example.com,919191873192,421244,2024,Qtr 1,March,26,17
"40
Bandi Chowk
Bally-447625",Ramagundam,1670.86,48268435,Triveni Padmanabhan,Inactive,bishakhaprasad@example.com,913882430209,631598,2024,Qtr 2,April,5,15
"40
Misra Chowk
Khora -190990",Giridih,393.06,51014003,Matthew Swaminathan,Regular,sanayathakur@example.net,917181387848,37529,2023,Qtr 4,December,16,14
"40, Brar Chowk
Kanpur 341441",Bharatpur,1503.93,68692574,Bachittar Wagle,Inactive,lajita90@example.net,913040173063,841899,2024,Qtr 3,August,7,13
"40, Dutta Zila, Katihar 605477",Jalna,1518.25,91312072,Joshua Rana,Inactive,mkakar@example.net,918534310594,409142,2024,Qtr 2,April,20,4
"40/020
Krish Circle
Amaravati 137329",Tiruchirappalli,1838.77,97928541,Pratyush Peri,New,vasudha09@example.com,910425860983,917035,2023,Qtr 2,June,27,4
"40/162
Lall Chowk, Rourkela 080616",Howrah,417.3,10729474,Gautami Pingle,New,oliverraman@example.org,914775722633,14994,2023,Qtr 4,October,19,16
"40/20
Varty Marg
Ahmedabad 579383",Gangtok,1857.65,76533277,Bakhshi Kuruvilla,New,muniharshil@example.net,911084917852,912071,2023,Qtr 4,October,11,16
"40/280, Balakrishnan Path, Bongaigaon 601425",Delhi,1340.67,26752630,Nakul Gade,Inactive,samuel16@example.net,914583794714,313960,2024,Qtr 3,September,25,5
"40/476
Patla, Surat-220751",Rewa,387.57,63624332,Krisha Zachariah,Inactive,dhingraabha@example.org,914655906980,391559,2023,Qtr 3,August,17,19
"40/59, Rai Street
Vijayawada 675290",Shimoga,331.15,17106161,Gagan Prabhakar,Inactive,chaitanyaraman@example.net,911958568514,758004,2024,Qtr 2,May,1,9
"40/64, Bath, Tadepalligudem-096254",Tirunelveli,1760.03,61121421,Aditya Sami,New,nandini14@example.net,919041804855,173820,2024,Qtr 1,January,17,14
"40/707, Soman Chowk
Latur-351743",Sirsa,1638.62,43034188,Ekaraj Bora,Inactive,kohlimeera@example.org,919086755471,569612,2024,Qtr 1,January,28,2
"401
Baral Chowk
Thrissur 779900",Panchkula,1801.96,24308515,Thomas Walia,Regular,laksh53@example.com,918989427140,546301,2023,Qtr 4,October,26,20
"402
Dhar Marg
Howrah-469239",Kharagpur,1298.64,89886179,Ladli Shah,Inactive,tarakbahri@example.net,918232463802,816353,2024,Qtr 1,February,10,4
"406
Chanda Chowk
Jalandhar 950864",Bareilly,596.54,1529180,Darsh Gokhale,Inactive,randhawaaashi@example.com,912845073428,516534,2024,Qtr 2,June,7,5
"407
Bose Nagar
Bhavnagar-274966",North Dumdum,1495.87,6637282,Damini Lad,Inactive,chandanikhatri@example.org,919069486876,140071,2023,Qtr 4,October,31,15
"408
Bains Chowk
Morbi-747709",Bhusawal,796.97,81808190,Qasim Sharma,Inactive,rbarad@example.org,916722446082,611142,2023,Qtr 3,July,6,1
"41, Bajwa Zila, Sangli-Miraj & Kupwad-859767",Aurangabad,1965.2,34697768,Omaja Oak,Regular,tripti84@example.net,915048960122,37920,2023,Qtr 1,March,17,13
"41, Gulati Street
Mango 906100",Aurangabad,497.93,63870636,Darpan Bhatia,Premium,chakradhardutt@example.com,919557867623,349728,2023,Qtr 2,April,29,1
"41, Memon Road, Bilaspur-628397",Burhanpur,1666.12,57674875,Kiaan Shukla,Regular,palanazad@example.com,916491766641,110402,2023,Qtr 2,May,7,16
"41/05
Cheema Marg, Durg-626411",Kadapa,1741.42,5386246,Oeshi Dhillon,Inactive,mallmaya@example.com,919401691011,956529,2023,Qtr 2,May,19,5
"41/188, Bobal Ganj, Shimla-284469",Pali,904.76,38048329,Harrison Loyal,New,niharika09@example.com,914168101745,987355,2024,Qtr 4,October,1,1
"41/28, Tella Zila
Bokaro-422478",Kota,1485.15,16436359,Yashica Ramesh,New,upasna58@example.net,910300078228,362536,2024,Qtr 3,July,26,9
"41/331
Manne Zila
Jamalpur-589262",Udaipur,1401.79,56480776,Matthew Parsa,Regular,sagate@example.com,914677889908,573808,2024,Qtr 1,March,17,8
"41/37, Raja Marg
Tumkur-353412",Dehri,1578.87,47577193,Chaaya Wable,Premium,zvenkatesh@example.net,916830988927,410068,2024,Qtr 1,February,5,16
"41/448
Bandi Ganj
Jamshedpur 168104",Mahbubnagar,476.91,70243933,Irya Gola,Regular,ekbal71@example.org,919538190762,829779,2023,Qtr 3,August,5,13
"41/464
Bajwa Zila
Katihar-157022",Kota,701.68,98144693,Varenya Ahluwalia,Premium,imohan@example.com,913464079563,839641,2024,Qtr 4,November,4,10
"41/500, Sachdev Marg, Jhansi-452338",Rohtak,813,43431724,Jack Kalita,New,calebdewan@example.com,912843679556,217110,2023,Qtr 4,November,26,2
"41/83, Walia Path, Pune 923796",Ghaziabad,678.05,27336589,Bishakha Bhargava,New,siyathakur@example.org,916632910288,702025,2023,Qtr 4,December,28,11
"41/94
Bora Path
Siliguri 237079",Satara,361.38,22081691,Yagnesh Bora,New,harrisonmore@example.net,917333506544,999018,2023,Qtr 4,November,16,13
"411
Nori Zila, Giridih 250229",Ranchi,1910.55,52393801,Aarush Roy,New,hemalkapadia@example.org,913857518200,96858,2023,Qtr 1,March,20,2
"413
Ahluwalia Zila
Ludhiana 958493",North Dumdum,1435.66,64489709,Ekavir Kade,Premium,qasimganguly@example.net,915849794499,300054,2024,Qtr 2,April,22,2
"413
Kakar Road
Ujjain 345914",Jaunpur,657.98,21282544,Warda Basak,Regular,lchoudhary@example.net,919755371641,808063,2024,Qtr 3,August,28,16
"415
Keer Zila
Pondicherry 417130",Ratlam,1001.97,67465084,Rachita Gill,Premium,meghana61@example.net,912526347438,549174,2023,Qtr 4,November,2,20
"418, Desai Chowk, Tiruvottiyur 558463",Proddatur,1815.06,2903620,Bahadurjit Rama,New,faraj37@example.com,910991674238,495945,2024,Qtr 2,May,11,11
"42
Bawa
Madanapalle-334038",Delhi,262.6,48150243,Ekaja Dube,Regular,ahluwaliasaumya@example.net,917662737701,175880,2023,Qtr 4,November,27,13
"42, Bajwa Road, Nadiad-839395",Warangal,1931.1,4545935,Aayush Ahluwalia,Regular,jagdish37@example.org,910925597899,731038,2024,Qtr 3,August,6,7
"42, Mand Nagar
Kolkata-949731",Silchar,494.03,4940671,Sarthak Doshi,Inactive,fariq53@example.org,910560446881,431653,2024,Qtr 2,June,17,7
"42, Mittal Marg
Raiganj-402582",Jaipur,997.43,49258916,Zehaan Thakur,Inactive,yash08@example.com,916814722577,153207,2024,Qtr 2,April,2,16
"42, Sawhney Marg, Bhubaneswar-711454",Malegaon,1753.38,34381941,Oeshi Thaman,Inactive,bahriishanvi@example.net,913236868087,348234,2023,Qtr 3,July,13,10
"42/11
Lad Nagar
Siwan 341914",Jodhpur,1121.27,19425804,Xavier Sahni,Inactive,anamika10@example.org,917547849322,705258,2023,Qtr 2,April,6,10
"42/193
Subramaniam Circle
Sultan Pur Majra-294414",Korba,413.3,64162093,Nakul Mall,Premium,sbarman@example.net,914593573538,818200,2024,Qtr 2,April,22,6
"42/24, Sagar Ganj
Nandyal-490265",Bhubaneswar,1208.09,9314637,Aarav Sandal,Inactive,chakrikasood@example.net,918595330748,207302,2024,Qtr 3,July,28,15
"42/463
Rana Street, Chennai 439851",Narasaraopet,1903.09,22738465,Gabriel Oak,Inactive,advayluthra@example.com,918378521079,890953,2023,Qtr 3,July,2,16
"42/473, Mistry Chowk
Chittoor 860495",Rourkela,1276.88,76604145,Nidra Agate,Regular,ayushbobal@example.org,912148872899,767461,2023,Qtr 1,March,22,14
"42/738
Dhawan Road
Nagpur 697513",Madanapalle,1660.54,35049420,Udarsh Mangal,Regular,zpatil@example.org,916564243819,720562,2023,Qtr 1,March,25,7
"42/822
Mitra Nagar
Gorakhpur 509558",Kadapa,1874.42,17299810,Hamsini Krish,New,balendrasanghvi@example.com,914004052335,344807,2024,Qtr 1,March,4,13
"42/949
Dani Chowk, Raipur 625479",Karaikudi,1600.66,31389750,Advika Bala,New,praneelmorar@example.com,918556395895,251735,2023,Qtr 3,August,18,18
"422
Salvi
Panchkula 451977",Pallavaram,828.14,36146306,Aryan Ghose,Regular,brahmbhattvihaan@example.net,913834021286,767176,2023,Qtr 4,November,10,19
"422, Pradhan Road
Vijayanagaram 919198",Mirzapur,425.04,65121696,Warinder Gopal,New,roynimrat@example.org,918190571130,329948,2024,Qtr 4,October,19,7
"426, Vora Ganj
Bettiah 007488",Ghaziabad,474.26,56604077,Yutika Pandit,Regular,shivanshdesai@example.com,912766142361,596688,2024,Qtr 1,January,11,14
"429, Goswami Chowk, Bhiwandi-975689",Pali,540.83,84382654,Gaurangi Singh,Inactive,vbumb@example.org,918310880668,843683,2024,Qtr 4,October,24,3
"43
Sood Circle
Anand 032303",Bahraich,339.73,10038382,Rajata Balay,Inactive,sanaya20@example.net,913662858508,605355,2023,Qtr 3,August,15,3
"43, Dora Road
Dhanbad 332848",Salem,1374.71,40643232,Falguni Chand,Regular,rajeshri70@example.com,912894203558,249528,2023,Qtr 2,April,12,4
"43, Gole Zila
Hajipur 933661",Singrauli,1540.25,2234490,Amara Gala,Premium,gangasanghvi@example.com,914512666716,529202,2024,Qtr 3,August,7,8
"43, Mane Circle
Kishanganj-282155",Nashik,1764.07,74833221,Agastya Saran,Regular,nde@example.net,917320060961,247247,2024,Qtr 2,April,28,1
"43, Palan Marg
Vasai-Virar 928946",Unnao,525.07,98540377,Brinda Datta,Regular,nidra84@example.net,918292080542,713632,2023,Qtr 3,September,15,16
"43, Sarna Street
Begusarai 207171",Katihar,216.98,87463923,Gagan Lal,Inactive,pranit82@example.com,916850228529,276564,2024,Qtr 1,March,21,5
"43/105
Mitter Ganj, Jamnagar-690461",Ambattur,574.18,70867736,Madhavi Nagarajan,Premium,harijeremiah@example.com,913772639409,596147,2024,Qtr 2,May,29,17
"43/18, Chaudhuri Road, Tirunelveli 430798",Kavali,285.02,31026200,Saksham Garg,New,suhani16@example.net,912089281317,690956,2024,Qtr 1,March,18,13
"43/378, Lalla, Sri Ganganagar 591499",Purnia,1465.58,99406165,Yadavi Tiwari,Premium,karanmemon@example.com,918460685733,361264,2024,Qtr 1,January,12,10
"43/477, Bath Marg, Panihati-316632",Ahmednagar,747.9,24581427,Yahvi Tiwari,Premium,yauvanibarad@example.net,916583407320,644558,2023,Qtr 3,August,20,3
"43/482
Munshi Zila, Khandwa 356038",Loni,401.72,49795571,Rajata Agrawal,Premium,charvikurian@example.net,912035357315,73093,2024,Qtr 1,March,8,13
"43/56
Shah Nagar, Jalna-842838",Amritsar,794.76,84066402,Lucky Dar,Regular,amrutadixit@example.com,919291311555,684269,2023,Qtr 4,October,11,7
"43/736, Sant Ganj
Guntur-200508",Gwalior,1374.76,63238941,Vidhi Misra,Regular,ramaswamyqushi@example.com,914581768705,778124,2024,Qtr 1,March,11,2
"43/75
Dalal Ganj, Moradabad-771813",Madurai,853.44,97191387,Chavvi Bhatia,Premium,vmall@example.org,919266633731,866334,2023,Qtr 2,June,3,3
"43/82, Bala Nagar
Khammam 231196",Erode,1780.68,65772743,William Kuruvilla,Regular,onveerbedi@example.net,914201768186,283776,2024,Qtr 3,August,2,14
"43/894, Aggarwal Zila, Jammu-664304",Dibrugarh,1785.47,64722323,Harish Kant,New,tamannamody@example.com,914781095330,61375,2023,Qtr 2,May,14,7
"43/897
Thakkar Circle, Karimnagar-794484",Katni,1646.68,83597876,Tanmayi Oak,Premium,msaha@example.org,919039949572,357046,2023,Qtr 4,December,21,10
"43/94, Ghosh, Alappuzha 635655",Kozhikode,220.09,79726146,Zaitra Vig,New,ishanvi87@example.org,916264232390,826054,2023,Qtr 4,October,4,4
"430
Savant Road
Ramagundam-958730",Shahjahanpur,297.38,58415368,Frederick Virk,New,jroy@example.com,917639083758,603119,2024,Qtr 2,May,29,10
"434, Basu Street
Guna 218695",Hosur,1383.05,72079189,Bhavani Gupta,Inactive,siddharth05@example.net,913331569034,446112,2023,Qtr 2,May,23,17
"437
Borra Ganj
Pune 036001",Howrah,354.25,24107959,David Chowdhury,Regular,bdar@example.com,911590598180,978633,2024,Qtr 3,July,8,7
"44
Bhasin Marg
Panipat 159190",Bhind,824.31,71902700,Qarin Nazareth,Regular,garimaraju@example.com,916213718621,91752,2024,Qtr 1,February,5,10
"44
Dube Path
Jammu-898608",Madurai,601.15,77559557,Akshay Varty,New,balendra63@example.com,917909370826,639717,2023,Qtr 3,August,28,9
"44
Krishna Chowk, Bhatpara 525476",Chandigarh,842.66,76377003,Harsh Bhandari,Inactive,viswanathanaarav@example.com,912663980292,145664,2024,Qtr 3,August,7,10
"44, Gaba Nagar
Patna-177700",Allahabad,211.88,91791128,Warda Mand,Regular,aptejagdish@example.com,911059202759,48642,2024,Qtr 1,March,18,6
"44/036, Peri Marg
Shivpuri 138223",Ajmer,939.35,45314389,Amaira Subramanian,New,mandatanveer@example.org,919944567893,266618,2023,Qtr 1,March,26,17
"44/148, Natt Chowk
Ahmedabad-669972",Bardhaman,1823.25,85177880,Aryan Sridhar,Regular,munipeter@example.com,915113978421,285240,2024,Qtr 1,January,27,9
"44/197
Dash Street, Tinsukia 305622",Ratlam,999.04,33370343,Yachana Bava,Premium,ohans@example.com,917326851045,893977,2024,Qtr 3,July,7,20
"44/45
Kamdar Path, Mumbai 535037",Vijayawada,1626.79,63630649,Indira Golla,Premium,atikhanna@example.org,912942586703,178528,2023,Qtr 3,September,2,8
"44/554, Sampath Street, Jalandhar-983074",Farrukhabad,1091.61,71771782,Jalsa Bansal,Inactive,jasmitgola@example.org,917866814065,382294,2023,Qtr 2,May,23,8
"44/84
Sule Road, Howrah-418979",Munger,1089.92,99707100,Falan Master,Inactive,mrao@example.net,911942073062,361839,2024,Qtr 1,February,24,9
"44/93, Mall Chowk, Guna-533461",Silchar,565.61,79919160,Qasim Rai,Premium,madhavhans@example.com,914328493896,216361,2023,Qtr 4,December,30,8
"44/934, Varma Marg
Thiruvananthapuram-851021",Shimoga,1121.1,20209237,Anthony Ratti,Regular,aryan46@example.com,919343589933,467793,2024,Qtr 1,February,11,19
"44/995
Saran, Gandhidham-563933",Jaunpur,751.73,79773912,Vaishnavi Gulati,Regular,adityaramanathan@example.net,912619074930,669886,2023,Qtr 4,October,6,7
"440
Chakraborty, Raipur-544802",Kolkata,622.59,34755436,Jatin Ramachandran,New,naveen22@example.org,913760572477,370073,2023,Qtr 2,June,1,10
"441
Basak, Jamalpur 091680",Bidar,721.41,36400756,Rayaan Nayak,Inactive,mallguneet@example.org,913987599210,984457,2023,Qtr 2,April,4,19
"445, Pai
Haldia 442073",Kochi,331.1,1624115,Saksham Atwal,New,meghaatwal@example.org,912435381855,487872,2023,Qtr 4,October,26,2
"448, Rajagopal Ganj
Bhubaneswar-587599",Raichur,1120.64,31000129,Lohit Kaur,Premium,siddharth81@example.net,913242653438,396599,2024,Qtr 1,March,29,18
"45
Saini, Kumbakonam-396116",Kolhapur,1451.81,28413467,Leena Mane,New,kandachakradhar@example.org,910987770255,541139,2024,Qtr 3,July,24,16
"45
Shroff Zila, Bhiwani 555758",Jodhpur,1400.72,30192942,Darika Raj,Premium,indalisunder@example.net,912817982930,907183,2024,Qtr 1,February,4,8
"45, Dhawan Marg, Mahbubnagar-157273",Sagar,305.85,8205155,Vrishti Din,New,pooja30@example.com,911171023508,165438,2023,Qtr 3,August,12,3
"45, Gera Path, Medininagar-812341",Kakinada,560.95,15484407,Saksham Kaur,Premium,nathmohammed@example.net,912436260247,457519,2024,Qtr 2,June,11,18
